claimer name;claim;Hoax Class;Article Title;Date;Object;Subject;Tema Artikel
Claim by Akun Facebook Suhermanto Yasduri:;Foto yang diklaim sebagai foto Presiden Jokowi yang salah posisi bersedekap saat salat;Sesat;[Fakta atau Hoaks] Benarkah Ini Foto Presiden Jokowi yang Salah Posisi Bersedekap Saat Salat?;Jun 12, 2020;Joko Widodo;Salat;Cek Fakta Tempo - TEMPO.co
;Keluarga Besar Universitas Indonesia tidak mengakui Jokowi dan Ma'ruf Amin sebagai Presiden dan Wakil Presiden Indonesia Periode 2019-2024;Sesat;[Fakta atau Hoaks] Benarkah Keluarga Besar Universitas Indonesia Tak Akui Jokowi dan Ma'ruf Amin sebagai Presiden dan Wapres?;Oct 17, 2019;Ma'ruf Amin;Joko Widodo;Wakil Presiden Republik Indonesia
Claim by Akun Facebook:;Foto yang diklaim sebagai foto ayah Presiden Jokowi dan merupakan komandan underbow PKI;Sesat;[Fakta atau Hoaks] Benarkah Pria di Foto Ini Ayah Jokowi dan Komandan Underbow PKI?;Aug 5, 2020;Joko Widodo;Partai Komunis Indonesia;Ayah
Claim by Sejumlah situs dan akun-akun Facebook:;MPR mengusulkan agar Presiden Jokowi memimpin Indonesia hingga 2027;Sesat;[Fakta atau Hoaks] Benarkah MPR Usul Presiden Jokowi Pimpin Indonesia Hingga 2027?;Jun 26, 2020;Joko Widodo;Presiden Indonesia;Majelis Permusyawaratan Rakyat Republik Indonesia
Claim by Akun-akun Facebook:;PSBB Jakarta Jilid II adalah bagian dari skenario untuk mendesak Presiden Jokowi mundur;Sesat;[Fakta atau Hoaks] Benarkah PSBB Jakarta Jilid II Bagian dari Skenario Desak Jokowi Mundur?;Sep 14, 2020;Pembatasan Sosial Berskala Besar;Joko Widodo;Jakarta
Claim by Akun-akun Facebook:;Peneliti Australia menyebut Jokowi sebagai presiden tak berkemampuan tapi memiliki daya rusak;Sesat;[Fakta atau Hoaks] Benarkah Jokowi Disebut Tak Berkemampuan Tapi Punya Daya Rusak oleh Peneliti Australia?;Sep 9, 2020;Joko Widodo;Peneliti;Cek Fakta Tempo - TEMPO.co
Claim by Akun Twitter @do_ra_dong:;Adanya pengkondisian oleh KPU dan beberapa lembaga survei untuk memenangkan Joko Widodo-Ma'ruf Amin dengan angka sebesar 57%;Sesat;[Fakta atau Hoaks] Benarkah Hasil Sigi Lembaga Survei untuk Jokowi Hasil Pengkondisian?;Apr 5, 2019;Joko Widodo;Metodologi survei;Ma'ruf Amin
Claim by Beredar di media sosial:;Pidato Presiden Jokowi di G20 Summit hanya 1 menit;Sesat;[Fakta atau Hoaks] Benarkah TV Jepang Menertawakan Jokowi yang Hanya Berpidato 1 Menit di KTT G20?;Jul 3, 2019;Joko Widodo;G20;Konferensi tingkat tinggi
Claim by Akun blogspot Tribun Pos:;“Mendagri: Kades Hingga Gubernur Tidak Boleh Netral, Harus Turuti Kemauan Pak Jokowi”;Sesat;[Fakta atau Hoaks] Benarkah Mendagri Melarang Kades dan Lurah Bersikap Netral?;Mar 28, 2019;Kepala desa;Kementerian Dalam Negeri;Cek Fakta Tempo - TEMPO.co
Claim by Grup-grup WhatsApp:;Presiden Jokowi telah berhasil pulangkan uang negara hingga Rp 11 ribu triliun yang disimpan koruptor di Swiss;Tidak Terbukti;[Fakta atau Hoaks] Benarkah Presiden Jokowi Telah Berhasil Pulangkan Uang 11 Ribu T dari Swiss?;Jul 8, 2020;Joko Widodo;Uang;Swiss
Claim by Beredar di YouTube:;Presiden Jokowi mundur dari jabatannya;Tidak Terbukti;[Fakta atau Hoaks] Benarkah Presiden Jokowi Mundur dari Jabatannya?;Sep 10, 2019;Joko Widodo;Cek Fakta Tempo - TEMPO.co;
Claim by Situs Jayantara News:;Presiden Jokowi menyebut kepala daerah yang memainkan bantuan Covid-19 bakal dihukum seumur hidup;salah;[Fakta atau Hoaks] Benarkah Jokowi Sebut Kepala Daerah yang Mainkan Bantuan Covid-19 Bakal Dihukum Seumur Hidup?;May 4, 2020;Joko Widodo;Kepala daerah;COVID-19
Claim by Aljazera Online:;Info dari Turki: Erdogan tidak pernah akui kemenangan Jokowi;salah;[Fakta atau Hoaks] Benarkah Presiden Erdogan Tidak Mengakui Kemenangan Jokowi pada Pilpres 2019?;Apr 23, 2019;Recep Tayyip Erdoğan;Joko Widodo;Cek Fakta Tempo - TEMPO.co
Claim by Akun Facebook Bambang Tri:;KPU disuap untuk mengamankan kasus ijazah palsu Presiden Jokowi;salah;[Fakta atau Hoaks] Benarkah KPU Disuap untuk Amankan Kasus Ijazah Palsu Jokowi?;Jan 15, 2020;Joko Widodo;Ijazah;Komisi Pemilihan Umum Republik Indonesia
